name,dba,street,city,state,zip,gridX,gridY
BEST BUDZ LLC,BEST BUDZ,3729 Austin Bluffs Parkway,Colorado Springs,CO,80918,,
BEYOND BROADWAY LLC,LIVWELL,432 South Broadway,Denver,CO,80209,,
BGOOD VENTURES LLC,BGOOD APOTHECARY,80 South Pennsylvania Street,Denver,CO,80209,,
BIG MEDICINE LLC,BIG MEDICINE CANNABISSARY,2909 North El Paso Street,Colorado Springs,CO,80907,,
BIJOU WELLNESS CENTER LLC,,"2132 East Bijou Street, Suite 114",Colorado Springs,CO,80909,,
BIOCARE INC,PINK HOUSE TAMARAC,3415 South Oleander Court,Denver,CO,80224,,
BIOENERGETIC HEALING CENTER LLC,,"842 North Summit Boulevard, #13",Frisco,CO,80443,,
BND LLC,A CUT ABOVE,3750 Astrozon Blvd #140,Colorado Springs,CO,80910,,
BOLDER VENTURES LTD,PEOPLES CHOICE WELLNESS CENTER,"7464 Arapahoe Avenue, Unit A9",Boulder,CO,80303,,
"BOOM TOWN, LLC",CRESTED BUTTE ALTERNATIVE MEDICINE,"310 Belleview Avenue, Suite 2",Crested Butte,CO,81224,,
BOTANACARE LLC,,"11450 Cherokee Street, Unit A7",Northglenn,CO,80234,,
BOTANICO INC,BOTANICO,3054 Larimer Street,Denver,CO,80205,,
BOTICA DEL SOL,,754 South Broadway,Denver,CO,80209,,
BOULDER COUNTY CAREGIVERS LLC,The Ridge,10185 West 49th Avenue,Wheat Ridge,CO,80033,,
BOULDER TREATMENTS LLC,ROOT ORGANIC MMC,"5420 Arapahoe Road, Suite D",Boulder,CO,80303,,
BOULDER VITAL HERBS LLC,,"2850 Iris Avenue, Suite North",Boulder,CO,80301,,
BOULDER WELLNESS CENTER LLC,,"5420 Arapahoe Avenue, Units E& F",Boulder,CO,80303,,
BRIARGATE WELLNESS CENTER LLC,BRIARGATE WELLNESS CENTER LLC,"890 Dublin Blvd., Suite C",Colorado Springs,CO,80918,,
BUD MED HEALTH CENTERS LLC,,2517 Sheridan Blvd.,Edgewater,CO,80214,,
BUDDIES WELLNESS LLC,,"1270 West Cedar Avenue, Suite A",Denver,CO,80223,,
BUSHES LLC,THE STATION,3005 28th Street,Boulder,CO,80302,,
C^3 COLORADO SPRINGS LLC,PURE INTENTIONS WELLNESS CENTER,201 North Academy Boulevard,Colorado Springs,CO,80909,,
CAM CORP,,2394 South Broadway,Denver,CO,80210,,
CANNA CENTER LLC,CANNA CENTER LLC,5670 East Evans Avenue #216,Denver,CO,80222,,
CANNA KING,CANNA KING,"5740 South College Avenue, Unit B",Fort Collins,CO,80526,,
CANNA MEDS WELLNESS CENTER LLC,,2363 North Academy Boulevard,Colorado Springs,CO,80909,,
CANNABICARE INC,THE CARE,1466 Woolsey Heights,Colorado Springs,CO,80915,,
"CANNABIS CARE WELLNESS CENTER, LLC",,2515 7th Avenue,Garden City,CO,80631,,
"CANNABIS FOR HEALTH, LLC",,285 South Pearl Street,Denver,CO,80209,,
CANNABIS KING LLC,GREENWERKZ,"1131 West Custer Place, Suite A",Denver,CO,80223,,
CAREGIVERS FOR LIFE LLC,,310 Saint Paul Street,Denver,CO,80206,,
CARMIC INVESTMENT LLC,THE GOLDEN GOAT,7801 E. Colfax Avenue,Denver,CO,80220,,
CC GROUP,CANNA CAREGIVERS,"3220 North Academy Boulevard, Suite 4",Colorado Springs,CO,80917,,
CC GROUP,THE CANNA CENTER,"2306 N. Powers Blvd., Suite 100",Colorado Springs,CO,80915,,
CC GROUP LLC,CANNA CAREGIVERS WEST,1914 West Uintah Street,Colorado Springs,CO,80904,,
CG NETWORK LLC,GROUNDSWELL,3121 East Colfax Avenue,Denver,CO,80206,,
CHOICE ORGANICS INC,,"813 SMITHFIELD DRIVE, UNIT A&B",Fort Collins,CO,80524,,
CITI-MED LLC,,1640 East Evans Avenue,Denver,CO,80210,,
CJJ SERVICES LLC,SACRED SEED,5885 East Evans Avenue,Denver,CO,80222,,
CLINIC 5280,CLINIC 5280,"1629 S. Nevada Avenue, Suite B",Colorado Springs,CO,80905,,
CMED LLC,COLOMED CENTER,615 Buggy Circle,Carbondale,CO,81623,,
CNW LLC,ARTISANAL MEDICINALS,2042 South Bannock Street,Denver,CO,80223,,
CO-AGRONOMICS LLC,THE GREEN DEPOT,2020 South Broadway,Denver,CO,80210,,
COLORADO ALTERNATIVE HEALTH CARE LTD,PALISADES HEALTH CARE,125 Peach Ave Unit B,Palisade,CO,81526,,
COLORADO CANNABIS ASSOCIATES LLC,THE SPOT,748 East Industrial Drive,Pueblo West,CO,81007,,
COLORADO CANNABIS COMPANY LLC,PURE MEDICAL DISPENSARY,1133 Bannock Street,Denver,CO,80204,,
COLORADO CANNABIS SERVICES LLC,GREEN CROSS CAREGIVERS,"1842 South Parker Road, Unit 18",Denver,CO,80231,,
COLORADO CARE FACILITY INC,,5130 East Colfax Avenue,Denver,CO,80220,,
COLORADO COLITAS LLC,HERBAL REMEDIES INC,5109 WEST ALAMEDA AVENUE,Denver,CO,80219,,
COLORADO FARMS INC,LIGHTSHADE,11975 East 40th Avenue,Denver,CO,80239,,
COLORADO HEALING LLC,HEADQUARTERS,4497 Ute Hwy,Longmont,CO,80503,,
COLORADO HEALING LLC,HEADQUARTERS,537 Canyon Street,Boulder,CO,80302,,
COLORADO HEALTH CONSULTANTS LLC,STARBUDS,4690 Brighton Boulevard,Denver,CO,80216,,
COLORADO MEDICAL MARIJUANA SUPPLY INC,LEAF ASPEN,"730 E. Cooper Avenue, Suite 2",Aspen,CO,81611,,
COLORADO PRODUCT SERVICES LLC,DOCTOR'S GARDEN,"580 Main Street, Suite 300",Carbondale,CO,81623,,
COLORADO WELLNESS CENTERS LLC,LUSH,2490 West 2nd Avenue,Denver,CO,80223,,
COLORADO WELLNESS INC,,2057 South Broadway,Denver,CO,80210,,
COLORADOS BEST INC,LACONTES CLONE BAR & DISPENSARY,105 East 7th Avenue,Denver,CO,80203,,
COLORADOS BEST INC,LACONTES CLONE BAR + DISPENSARY,5194 Washington Street,Denver,CO,80216,,
COMPASSIONATE CARE GIVERS INC,ROCKY MOUNTAIN HIGH,1233 West Alameda Avenue,Denver,CO,80223,,
COMPASSIONATE CARE GIVERS INC,THE CANNABIS STATION,1201 20th Street,Denver,CO,80202,,
COMPASSIONATE CARE GIVERS INC,ROCKY MOUNTAIN HIGH,1538 Wazee Street,Denver,CO,80202,,
COMPASSIONATE ENTERPRISES LLC,The Clinic on Jewel,12018 West Jewell Avenue,Lakewood,CO,80228,,
COMPASSIONATE ENTERPRISES LLC,THE CLINIC ON WADSWORTH,"3600 South Wadsworth Boulevard, Units D & E",Lakewood,CO,80235,,
COMPASSIONATE PAIN MANAGEMENT LLC,,"1116 West Dillion Road, Unit 7",Louisville,CO,80027,,
COMPLIANCE INITIATIVES LLC,STRAWBERRY FIELDS ALTERNATIVE HEALTH AND WELLNESS,3404 West Colorado Avenue,Colorado Springs,CO,80904,,
COOPER MASON VENTURES 2 LLC,,"520 East Cooper Avenue, Suite LL1",Aspen,CO,81611,,
COOPER MASON VENTURES 3 LLC,,"520 East Cooper Avenue, Suite LL3",Aspen,CO,81611,,
COOPER MASON VENTURES LLC,SILVERPEAK APOTHECARY,"520 East Cooper Avenue, Suite LL2",Aspen,CO,81611,,
CPM LAKEWOOD LLC,COMPASSIONATE PAIN MANAGEMENT,11950 W. Colfax,Lakewood,CO,80215,,
CRAIG APOTHECARY,CRAIG APOTHECARY,611 Breeze Street,Craig,CO,81625,,
CRESTED BUTTE WELLNESS CENTER LLC,,"329 Belleview, Unit A",Crested Butte,CO,81224,,
CROSS ROADS MEDICAL MARIJUANA CENTER LLC,THE 64 STORE,502 West Colorado Avenue,Colorado Springs,CO,80907,,
CROSSPOINT 3132 LLC,CROSSPOINT MEDICAL CENTER,"3132 West Colorado Avenue,",Colorado Springs,CO,80904,,
CT LLC,CANNABIS THERAPEUTICS,907 East Fillmore Street,Colorado Springs,CO,80907,,
CURE MEDICAL PHARM INC,RIVERROCK,"990 West 6th Avenue, Unit 5,",Denver,CO,80204,,
CYS INC,CYS INC,1675 Jetwing Drive,Colorado Springs,CO,80916,,
D and C MEDICAL MARIJUANA LLC,GOLDEN LEAF,1755 Lincoln Avenue,Steamboat Springs,CO,80487,,
DACONO MEDS LLC,SEDGWICK ALTERNATIVE RELIEF,107 Main Avenue,Sedgwick,CO,80749,,
DACONO MEDS LLC,DACONO MEDS,"730 Glen Creighton Drive, Unit C",Dacono,CO,80514,,
DAVID KRZYSZTOFIAK LLC,THE HERBAL ALTERNATIVE,1531 Lebanon Road,Cortez,CO,81321,,
DAY DREAMZ LLC,DAY DREAMZ,"1805 Santa Fe Drive, Suites D, E, F & G",Pueblo,CO,81006,,
DEEP GREEN RIVER LLC,DEEP GREEN RIVER LLC,1155 South Cherokee Street,Denver,CO,80223,,
DELANY & ASSOCIATES LLC,GOOD EARTH MEDS,"600 Cloman Blvd, Unit #1",Pagosa Springs,CO,81147,,
DELILAH LLC,,753 Vance Drive,Telluride,CO,81435,,
DELILAH LLC,,115 W Colorado Avenue,Telluride,CO,81435,,
DELTA 9 ALTERNATIVE MEDICINE LLC,STICKY BUDS,2262 South Broadway,Denver,CO,80210,,
DENCO LLC,DENCO LLC,5155 East 46th Avenue,Denver,CO,80216,,
DENCO LLC,,"3460 Park Avenue West, Unit D",Denver,CO,80216,,
DENVER DISPENSARY LLC,,4975 Vasquez Boulevard,Denver,CO,80216,,
DENVER PATIENTS CENTER LLC,"IHC, SANTE'",2070 South Huron Street,Denver,CO,80223,,
DENVER PATIENTS GROUP LLC,,"2863 Larimer Street, Suite B",Denver,CO,80205,,
DENVER RELIEF LLC,DENVER RELIEF LLC,"1 Broadway, #A150",Denver,CO,80203,,
DGS INC,The Kind Room,1881 South Broadway,Denver,CO,80210,,
DISCOUNT MEDICAL MARIJUANA LLC,DISCOUNT MEDICAL MARIJUANA LLC,2028 E Colfax Ave,Denver,CO,80206,,
DISCOUNT MEDICAL MARIJUANA LLC,DISCOUNT MEDICAL MARIJUANA LLC,970 Lincoln Street,Denver,CO,80203,,
DKC LLC,DENVER KUSH CLUB,2615 Welton Street,Denver,CO,80205,,
DOCTORS ORDERS LLC,DOCTORS ORDERS,1406 West 38th Avenue,Denver,CO,80211,,
DR. RELEAF INC,DR. RELEAF INC,2639 East Willamette Avenue,Colorado Springs,CO,80909,,
DURANGO ALTERNATIVE LLC,ROCKY MOUNTAIN HIGH,"48 CR 250, Units 106 &108",Durango,CO,81301,,
DURANGO HEALING CENTER LLC,,"555 South Camino Del Rio, Suite C1A",Durango,CO,81303,,
DURANGO ORGANICS LLP,DURANGO ORGANICS LLP,72 Suttle Street #F,Durango,CO,81303,,
EAGLES NEST WELLNESS CENTER,,8455 W. Hwy 24,Cascade,CO,80809,,
EAST WEST ALTERNATIVE MEDICINE LLLP,,"1905 North Academy Boulevard, Suite 102B",Colorado Springs,CO,80909,,
ECOMED LLC,NATURES MEDICINE; NATURES MEDICINE SALIDA,"230 West 16th Street, Suite C",Salida,CO,81201,,
ELITE ORGANICS LLC,ELITE ORGANICS,"804 South College Avenue, Suite C",Fort Collins,CO,80524,,
EMERALD CITY WELLNESS LLC,,"2606 West Colorado Avenue, Suite 200",Colorado Springs,CO,80904,,
ENLIGHTENED CARE LLC,,1330 West Garden of the Gods Road,Colorado Springs,CO,80907,,
ERINCARE LLC,THE TREE HOUSE,34 Buchanan Street,Colorado Springs,CO,80908,,
EVERGREEN APOTHECARY LLC,,1568 South Broadway,Denver,CO,80210,,
EVOLUTIONARY HOLDINGS LLC,ELEMENT FOUR20,82 South Federal Boulevard,Denver,CO,80219,,
EZ NATURAL ALTERNATIVES LLC,,3475 PINE TREE SQUARE SUITE E,Colorado Springs,CO,80909,,
FLAVORED ESSENTIALS LLC,FLAVORED ESSENTIALS LLC,3955 Oneida Street,Denver,CO,80207,,
FLOOBIES LLC,GAIA,417 North Circle Drive,Colorado Springs,CO,80909,,
FLOWER POWER BOTANICALS LLC,,1308 Duff Drive,Fort Collins,CO,80524,,
FOUR SCORE LLC,DISCREET TREATS,"101 North Tejon, Suite 102",Colorado Springs,CO,80903,,
FOX STREET WELLNESS,ALTAI,4773 Fox Street,Denver,CO,80216,,
F-SQUARED INDUSTRIES LLC,WELLNESS CENTER OF DENVER,330 S Dayton Street,Denver,CO,80247,,
GAME 7 LLC,PINK HOUSE COLORADO SPRINGS,700 Juanita Street,Colorado Springs,CO,80909,,
GARCIA & MAESTAS INC,LA CASA CANNABIS II,5986 Budweiser Way,Alamosa,CO,81101,,
GG MERCANTILE LLC,HIGHER EXPECTATIONS,1332 South Cherokee Street,Denver,CO,80223,,
GMC LLC,GREEN MAN CANNABIS,"1355 Santa Fe Drive, Suite F",Denver,CO,80204,,
GMC LLC,GREEN MAN CANNABIS,7289 East Hampden Avenue,Denver,CO,80224,,
GOLDEN MEDS INC,GOLDEN MEDS INC,4620 Peoria Street,Denver,CO,80239,,
GREEN AND HEALTHY WELLNESS LLC,,212 South 21st Street,Colorado Springs,CO,80904,,
GREEN AROUND YOU LLC,A MEDICAL MARIJUANA DISPENSARY,"970 South Onieda, Suite 17",Denver,CO,80224,,
GREEN CROSS LLC,GREEN CROSS OF CHERRY CREEK,"3400 South Oneida Way, Suite 101,",Denver,CO,80224,,
GREEN EARTH WELLNESS CENTER LLC,,519 North 30th Street,Colorado Springs,CO,80904,,
GREEN EARTH WELLNESS INC,THE GREEN SOLUTION,"389 Wadsworth Boulevard, Suite B",Lakewood,CO,80226,,
GREEN ESSENTIALS MEDICAL LLC,,1420 Devereux Road,Glenwood Springs,CO,81601,,
GREEN ESSENTIALS MEDICAL LLC,GREEN ESSENTIALS MEDICAL LLC,400 East Hyman Avenue,Aspen,CO,81611,,
GREEN FIELDS LLC,GREEN FIELDS LLC,1798 West Mississippi Avenue,Denver,CO,80223,,
GREEN GRASS LLC,,440 Lawrence Street,Central City,CO,80427,,
GREEN LEAF LLC,,"2280 South Quebec Street, Suite G",Denver,CO,80231,,
GREEN LIFE SOLUTIONS LLC,GREEN TREE MEDICINALS,"10575 Melody Drive, Suite 101",Northglenn,CO,80234,,
GREEN MEADOWS DISPENSARY LLC,,23360 South Highway 550,Montrose,CO,81403,,
GREEN MEADOWS WELLNESS LLC,INFINITE WELLNESS CENTER,"1701 Kipling Street, Unit 104,",Lakewood,CO,80215,,
GREEN MEADOWS WELLNESS LLC,INFINITE WELLNESS CENTER,900 North College Avenue,Fort Collins,CO,80524,,
GREEN MEDICALS INC,BUDDY BOY,777 Umatilla Street,Denver,CO,80204,,
GREEN MEDICALS INC,BUDDY BOY,"5115 North Federal Boulevard, #9",Denver,CO,80221,,
GREEN MEDICALS INC,BUDDY BOY,155 North Federal Boulevard,Denver,CO,80219,,
GREEN MEDICALS INC.,BUDDY BOY,120 South Kalamath Street,Denver,CO,80223,,
GREEN MEDICALS WELLNESS CENTER #5 LLC,CANNABIS CARE WELLNESS CENTER,"5740 South College, #C",Fort Collins,CO,80524,,
GREEN MEDICINE LLC,GREEN MEDICINE WELLNESS,1030 Grand Avenue,Glenwood Springs,CO,81601,,
GREEN MOUNTAIN CARE GROUP LLC,GREEN MOUNTAIN CARE,5423 South Prince Street,Littleton,CO,80120,,
GREEN NATURAL SOLUTIONS INC,,716 Grand Avenue,Glenwood Springs,CO,81601,,
GREEN PHARM LLC,GREEN PHARM LLC,325 Delaware Drive,Colorado Springs,CO,80909,,
GREEN THUMB ORGANICS INC,,4945 Pearl St,Denver,CO,80216,,
GREENER PASTURE COMPASSION CENTER LLC,VERDE,5101 East Colfax Avenue,Denver,CO,80220,,
GREENWERKZ LLC,,5840 West 25th Avenue,Edgewater,CO,80214,,
GREENWERKZ LLC,,2922 South Glen Avenue,Glenwood Springs,CO,81601,,
GROW LIFE LLC,,1516 Dustry Drive,Colorado Springs,CO,80905,,
H&J SERVICES INC,HERBS MEDICINALS INC (DENVER CANNA CLUB LLC #3),1015 North 2nd. Street,Berthoud,CO,80513,,
HADCAV ENTERPRISES INC,,5702 East Colfax Avenue,Denver,CO,80220,,
HAMME-BASTI LLC,NATURAL MYSTIC WELLNESS CENTER,204 E. Main Street,Buena Vista,CO,81211,,
HAPPY BUDDHA WELLNESS CENTER LLC,HAPPY BUDDHA WELLNESS CENTER LLC,"3612 Galley Road, Unit C",Colorado Springs,CO,80909,,
HCH2 LLC,HCH2 LLC,40 South Main Street,Alma,CO,80420,,
HCH3 LLC,THE HIGHWAY,1221 County Road 308,Dumont,CO,80436,,
HEADQUARTERS EMPORIUM AND DISPENSARY,HEADQUARTERS EMPORUIM AND DISPENSARY,138 East Main Street,Lyons,CO,80540,,
HEALING HOUSE LAKEWOOD,,10712 West Alameda Avenue,Lakewood,CO,80226,,
HEALTH DEPOT LLC,STICKY BUDS COLFAX,4615 East Colfax Avenue,Denver,CO,80220,,
HEAVENLY MEDICAL INC,HEAVENLY MEDICAL CAREGIVER,5323 Montbello Lane,Colorado Springs,CO,80918,,
HERBAL ALTERNATIVES LLC,NEW BROADSTERDAM,2568 South Broadway,Denver,CO,80210,,
HERBAL CONNECTIONS LLC,HERBAL CONNECTIONS LLC,2209 West 32nd Avenue,Denver,CO,80211,,
HERBAL ELEMENTS LLP,,"41184 US Hwy 6, Suite 190",Avon,CO,81620,,
HERBAL HEALTH LLC,LOCAL PRODUCT OF COLORADO,"419 West 13th Avenue,",Denver,CO,80204,,
HERBAL OPTIONS LLC,GOOD MEDS,"3431 South Federal Blvd, Unit G",Englewood,CO,80110,,
HERBAL OUTFITTERS LLC,GREEN MEDICINE WELLNESS,109 W. 4th Street,Rifle,CO,81650,,
HERBAL WELLNESS,SWEET LEAF,4379 Tejon Street,Denver,CO,80211,,
HERBAL WELLNESS LLC,HERBAL WELLNESS,"400 West South Boulder Road, Suite 2700,",Lafayette,CO,80026,,
HERBS NEST LLC,HERB HERB HERB IS THE WORD,3900 East 48th Avenue,Denver,CO,80216,,
HERIKAT INC,ROSE BUD PRODUCTIONS,"27050 East US Highway 50, Suite B2",Pueblo,CO,81006,,
HERITAGE ORGANICS LLC,,"401 Broadway, Suite A",Penrose,CO,81240,,
HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,1178 South Kalamath Street,Denver,CO,80223,,
HIGH MOUNTAIN MEDZ LLC,LEVITY WELLNESS,426 West Fillmore Street,Colorado Springs,CO,80907,,
"HIGH STREET GROWERS, LLC",HIGH STREET GROWERS,330 Federal Boulevard,Denver,CO,80219,,
HIGHLANDS WELLNESS CENTER LLC,THE CLINIC HIGHLANDS,3460 West 32nd Avenue,Denver,CO,80211,,
HOBBY FARMS LLC,A CUT ABOVE,1911 South Broadway,Denver,CO,80210,,
HOLLY MEDICINAL SERVICES LLC,THE CLINIC COLORADO,"3888 East Mexico Avenue, Suite 110",Denver,CO,80210,,
HOSHTA LLC,NEW HORIZONS,1460 Woolsey Heights,Colorado Springs,CO,80915,,
HUMBOLDT CARE AND WELLNESS CENTER LLC,NEW AGE MEDICAL LLC,1324 Garden of the Gods Road West,Colorado Springs,CO,80907,,
HUMBOLDT CARE AND WELLNESS CENTER LLC,NEW AGE MEDICAL LLC,6823 Space Village Avenue,Colorado Springs,CO,80915,,
I & S LLC,CANNAMART,1086 West Littleton Boulevard,Littleton,CO,80120,,
INDOOR HORTICULTURE CENTERS LLC,SANTE,742 1/2 Main Avenue,Durango,CO,81301,,
INDY 2 LLC,INDISPENSARY,3044 West Colorado Avenue,Colorado Springs,CO,80904,,
INDY 3 LLC,INDISPENSARY,3031 East Platte Avenue,Colorado Springs,CO,80909,,
IVITA WELLNESS LLC,,3980 Franklin Street,Denver,CO,80205,,
IVITA WELLNESS LLC,IVITA WELLNESS LLC,1660 Pearl Street,Denver,CO,80203,,
J & J MOUNTAIN MEDICALS LLC,J & J MOUNTAIN MEDICALS LLC,11505 US HWY 24 WEST,Divide,CO,80814,,
J and J ENTERPRISES INC,Pagosa Organic Therapeutics,"298 Bastille Drive, #A7, A9",Pagosa Springs,CO,81147,,
"J&R PARTNERS, LLC",NATIVE ROOTS VAIL,042190 Highway 6,Avon,CO,81620,,
JDC LLC,A Kind Place,938 North College Avenue,Fort Collins,CO,80526,,
JEM DUTCH ACRES LLC,CLOUD CITY COMPASSIONATE CARE,"1013 Poplar Street, Suite 1",Leadville,CO,80461,,
JGB VENTURES LLC,DANK LLC,"3835 Elm Street, Suites B & C",Denver,CO,80207,,
JMC ENTERPRISES INC,FREMONT COUNTY CANNABIS,1505 Elm Avenue,Canon City,CO,81212,,
JOIS LLC,CANNAMART,"3700 West Quincy Avenue, #3702",Denver,CO,80236,,
"JP WELLNESS, LLC",,1741 South Academy Boulevard,Colorado Springs,CO,80916,,
JS INVESTMENTS LLC,JS INVESTMENTS LLC,401 16th Street,Denver,CO,80202,,
JTR CAREGIVERS LLC,HELPING HANDS HERBALS,"1021 Pearl Street, Unit B",Boulder,CO,80302,,
K.I.N.D. WELLNESS CENTER LLC,STASH,"300 AABC, Suite B",Aspen,CO,81611,,
KARMACEUTICALS LLC,,4 South Santa Fe Drive,Denver,CO,80223,,
KAYAK CORPORATION,AMSTERDAM CAFE,1325 South Inca Street,Denver,CO,80223,,
KAZIMER LLC,BUD CELLAR,"1450 South Santa Fe Drive, Unit 102",Denver,CO,80223,,
KIND LOVE LLC,KL LLC,"3425 South Oleander Court, Suite B",Denver,CO,80224,,
KIND LOVE LLC,,4380 East Alameda Avenue,Glendale,CO,80246,,
KIND PAIN MANAGEMENT INC.,KIND PAIN MANAGEMENT,2636 Youngfield Street,Lakewood,CO,80215,,
KIND THERAPEUTICS INC,,1222 North Academy Boulevard,Colorado Springs,CO,80909,,
KIRKE LLC,THE HEMP CENTER COLORADO SPRINGS,"2501 West Colorado Avenue, Suite 106",Colorado Springs,CO,80904,,
"LA CASA CANNA""BIS"" INC",,205 Main Street,San Luis,CO,81152,,
LARSEN GROUP LLC,,"130 Maine Street, Suite B",Log Lane Village,CO,80705,,
L'EAGLE SERVICES LLC,L'EAGLE,380 Quivas Street,Denver,CO,80223,,
LIGHTSHADE LABS LLC,,3950 Holly Street,Denver,CO,80207,,
LINCOLN HERBAL INC,MILE HIGH DISPENSARY,424 Lincoln Street,Denver,CO,80203,,
LITTLE BROWN HOUSE,,1995 South Broadway,Denver,CO,80210,,
